neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,price
144,24,2,211,0,39
12,7,1,0,0,90
4,1,14,0,0,50
5,7,5,22,1,435
110,0,1,2,2,29
23,46,1,106,1,158
162,26,1,365,2,37
8,1,7,0,1,750
25,0,1,359,0,139
123,2,4,0,1,120
15,0,3,0,1,132
15,35,2,8,1,160
37,10,1,169,0,80
20,0,1,0,1,189
11,65,14,155,1,199
4,270,1,288,0,95
19,3,2,0,1,173
76,0,3,178,0,60
35,13,2,280,0,42
15,0,1,0,0,50
20,0,4,267,0,150
64,168,1,147,0,124
2,4,5,324,0,80
54,16,2,43,0,50
23,32,1,0,0,100
7,161,1,165,0,110
26,2,1,287,1,460
12,0,2,0,0,120
103,5,1,0,1,220
32,5,2,363,0,159
12,12,1,13,0,50
6,0,1,220,0,43
25,0,5,0,0,57
21,19,2,198,0,75
14,3,3,0,1,125
54,24,2,145,1,149
8,0,1,22,1,169
15,6,3,246,1,100
2,2,5,0,1,200
12,0,4,0,0,50
101,0,1,360,0,100
39,2,2,40,0,60
13,0,2,280,0,120
12,4,3,0,0,55
6,5,2,0,0,45
39,25,1,336,0,60
44,13,3,65,0,30
3,15,3,19,1,150
14,69,3,104,0,179
8,2,3,0,1,96
3,1,7,0,1,130
1,18,2,4,1,180
2,0,1,0,0,25
7,3,3,0,1,375
13,16,3,0,1,175
4,14,11,0,0,75
8,6,2,0,1,99
39,1,1,0,2,50
25,48,3,209,1,80
23,0,4,160,1,320
1,0,1,290,0,100
2,227,3,247,1,295
20,0,4,0,1,96
45,11,2,188,0,60
21,15,2,0,1,150
30,2,2,0,2,45
56,6,2,333,0,60
8,326,3,90,0,100
4,1,4,0,1,150
79,8,2,0,0,50
10,2,9,1,1,295
12,3,3,0,0,45
3,0,3,0,0,45
2,54,1,8,0,80
2,69,4,122,0,73
2,113,2,197,1,200
12,21,1,15,0,209
1,0,3,365,0,500
11,0,1,0,1,500
1,4,1,262,1,180
118,47,2,361,1,400
2,1,3,65,0,138
24,1,10,17,1,1400
7,0,1,23,2,69
7,3,3,45,0,140
12,1,5,73,0,90
4,85,3,175,1,350
8,222,1,251,0,99
1,0,2,0,0,185
12,23,2,103,0,89
17,3,3,69,1,145
124,29,3,313,1,89
24,1,1,0,0,75
123,68,2,69,0,85
15,9,1,364,1,450
6,1,6,0,0,80
3,2,2,0,1,110
12,2,4,0,0,200
216,29,1,362,0,80
16,24,2,0,1,170
7,116,3,82,0,140
8,0,6,0,1,220
12,0,4,0,1,499
46,4,1,78,1,100
1,21,3,0,1,135
70,6,1,180,0,119
28,0,5,0,1,210
42,17,3,66,0,60
23,5,2,0,1,260
21,33,1,25,0,45
4,1,1,0,0,99
3,2,7,0,0,100
8,2,2,0,1,250
31,3,3,0,0,60
12,0,1,0,0,100
12,36,2,52,0,60
21,10,1,0,0,42
19,23,2,0,1,275
28,2,2,105,1,140
94,10,1,361,2,30
79,0,3,0,1,179
21,0,1,0,0,60
7,8,4,275,0,120
138,1,2,269,2,800
21,0,5,0,0,50
12,3,3,364,1,175
12,1,3,254,1,210
2,74,2,264,1,295
9,43,1,15,0,72
80,2,1,90,0,99
21,0,2,0,0,120
126,13,2,35,0,59
21,115,2,6,1,84
23,0,1,0,1,250
22,0,5,0,0,40
63,11,4,15,1,100
43,2,5,364,0,270
12,7,3,66,1,100
44,1,2,0,0,65
2,86,3,224,0,75
31,133,1,7,0,65
103,3,1,359,0,50
7,6,1,365,0,175
21,19,5,0,0,40
7,52,2,193,1,200
34,9,1,338,0,129
12,28,2,342,0,75
19,6,2,5,1,174
100,0,2,353,1,110
136,114,1,0,0,35
51,9,2,0,1,58
7,0,14,0,1,150
20,0,2,0,0,100
49,16,1,36,1,89
29,5,3,0,1,130
21,28,3,0,1,100
53,2,3,33,1,260
4,0,4,35,1,150
8,0,1,0,1,250
132,26,2,229,1,279
2,164,3,87,0,68
19,9,1,30,0,99
22,0,10,0,0,40
19,1,3,0,0,220
12,1,2,0,1,159
16,20,1,258,0,60
4,2,2,8,1,100
1,51,1,29,0,145
16,14,7,326,1,195
12,11,3,0,1,200
171,7,2,301,1,125
39,4,2,2,0,60
7,83,2,105,1,160
12,7,7,0,1,98
2,58,3,0,0,55
28,102,2,35,1,125
20,116,3,36,1,199
13,6,5,167,0,75
19,0,3,0,1,300
162,1,4,50,1,90
16,4,10,258,1,105
21,1,3,26,0,150
12,23,1,0,0,75
15,36,2,321,1,200
170,5,2,334,1,350
12,21,2,313,1,175
6,151,2,288,0,72
33,2,5,0,1,160
53,17,3,84,0,130
12,1,3,0,1,200
98,0,2,0,1,120
27,3,3,0,1,16
44,2,7,142,1,210
68,1,1,188,1,215
12,32,6,291,1,175
15,0,5,0,0,60
120,6,1,359,0,95
135,1,5,89,2,39
2,109,4,0,0,65
25,1,3,342,0,70
6,6,2,226,0,49
64,2,10,35,0,100
15,0,14,30,0,45
152,37,1,84,0,60
19,0,1,365,0,390
23,10,5,11,1,160
111,126,2,45,0,49
2,0,5,0,1,80
7,8,3,54,1,300
80,1,3,20,1,60
6,1,7,0,0,50
79,55,2,281,1,350
98,32,3,6,1,125
0,5,4,0,0,45
111,1,1,298,0,55
12,0,3,0,0,72
12,2,5,0,0,100
24,12,1,0,0,50
24,9,1,288,1,59
7,1,3,90,1,300
14,2,3,0,1,190
20,14,2,45,1,160
16,4,4,0,0,40
4,56,2,66,1,135
